date,floor,unit,water_usage,num_residents,unit_size
2023-10-19,1,1,583.1,3,123
2023-10-20,1,1,508.22,3,123
2023-10-21,1,1,501.25,3,123
2023-10-22,1,1,425.22,3,123
2023-10-23,1,1,651.55,3,123
2023-10-24,1,1,747.41,3,123
2023-10-25,1,1,620.6,3,123
2023-10-26,1,1,326.93,3,123
2023-10-27,1,1,335.24,3,123
2023-10-28,1,1,751.49,3,123
2023-10-29,1,1,446.65,3,123
2023-10-30,1,1,722.0,3,123
2023-10-31,1,1,680.36,3,123
2023-11-01,1,1,956.3,3,123
2023-11-02,1,1,459.32,3,123
2023-11-03,1,1,513.98,3,123
2023-11-04,1,1,528.9,3,123
2023-11-05,1,1,399.08,3,123
2023-11-06,1,1,566.72,3,123
2023-11-07,1,1,581.78,3,123
2023-11-08,1,1,515.7,3,123
2023-11-09,1,1,466.64,3,123
2023-11-10,1,1,338.22,3,123
2023-11-11,1,1,529.21,3,123
2023-11-12,1,1,342.96,3,123
2023-11-13,1,1,543.61,3,123
2023-11-14,1,1,443.8,3,123
2023-11-15,1,1,544.97,3,123
2023-11-16,1,1,598.28,3,123
2023-11-17,1,1,446.9,3,123
2023-11-18,1,1,536.29,3,123
2023-11-19,1,1,272.63,3,123
2023-11-20,1,1,571.61,3,123
2023-11-21,1,1,851.82,3,123
2023-11-22,1,1,728.72,3,123
2023-11-23,1,1,378.96,3,123
2023-11-24,1,1,364.65,3,123
2023-11-25,1,1,400.37,3,123
2023-11-26,1,1,832.32,3,123
2023-11-27,1,1,881.08,3,123
2023-11-28,1,1,463.39,3,123
2023-11-29,1,1,691.22,3,123
2023-11-30,1,1,601.05,3,123
2023-12-01,1,1,575.62,3,123
2023-12-02,1,1,491.63,3,123
2023-12-03,1,1,764.77,3,123
2023-12-04,1,1,387.26,3,123
2023-12-05,1,1,858.26,3,123
2023-12-06,1,1,385.94,3,123
2023-12-07,1,1,733.15,3,123
2023-12-08,1,1,498.71,3,123
2023-12-09,1,1,332.11,3,123
2023-12-10,1,1,687.52,3,123
2023-12-11,1,1,530.7,3,123
2023-12-12,1,1,391.36,3,123
2023-12-13,1,1,935.3,3,123
2023-12-14,1,1,615.57,3,123
2023-12-15,1,1,662.67,3,123
2023-12-16,1,1,360.96,3,123
2023-12-17,1,1,550.25,3,123
2023-12-18,1,1,586.08,3,123
2023-12-19,1,1,546.17,3,123
2023-12-20,1,1,765.25,3,123
2023-12-21,1,1,476.85,3,123
2023-12-22,1,1,459.3,3,123
2023-12-23,1,1,581.57,3,123
2023-12-24,1,1,547.77,3,123
2023-12-25,1,1,811.99,3,123
2023-12-26,1,1,661.8,3,123
2023-12-27,1,1,370.51,3,123
2023-12-28,1,1,439.82,3,123
2023-12-29,1,1,431.46,3,123
2023-12-30,1,1,389.71,3,123
2023-12-31,1,1,552.42,3,123
2024-01-01,1,1,515.82,3,123
2024-01-02,1,1,802.49,3,123
2024-01-03,1,1,626.17,3,123
2024-01-04,1,1,297.4,3,123
2024-01-05,1,1,526.76,3,123
2024-01-06,1,1,458.2,3,123
2024-01-07,1,1,499.77,3,123
2024-01-08,1,1,710.99,3,123
2024-01-09,1,1,565.1,3,123
2024-01-10,1,1,723.2,3,123
2024-01-11,1,1,652.87,3,123
2024-01-12,1,1,533.11,3,123
2024-01-13,1,1,480.29,3,123
2024-01-14,1,1,424.89,3,123
2024-01-15,1,1,564.3,3,123
